기업코드,IFRS,CFS,종목코드,회사명,자산총계,자본총계,매출총이익,유동자산,유동부채,당기순이익,부채총계,매출액(수익),영업활동으로인한현금흐름,영업이익,주당배당금,EBITDA,날짜,시가총액,주가,주식수,GP/A,ROE,PBR,유동비율,NCAV,PER,PSR,PCR,2003-당기순이익,2002-당기순이익,2001-당기순이익,2000-당기순이익,1999-당기순이익,2003-자본총계,2002-자본총계,2001-자본총계,2000-자본총계,1999-자본총계,증자
00100939,1,1,000860,강남제비스코,289870000000.0,208800000000.0,42360000000.0,97360000000.0,67770000000.0,20320000000.0,81080000000.0,278890000000.0,8930000000.0,13710000000.0,32000000000.0,32820000000.0,2005-08-01,73125000000.0,11450.0,11450.0,0.14613447407458516,0.09731800766283524,0.3502155172413793,1.4366238748708868,0.22263247863247865,3.59867125984252,0.2622001505970096,8.188689809630459,17520000000.0,17520000000.0,1700000000.0,4780000000.0,8910000000.0,179800000000.0,164200000000.0,147200000000.0,144600000000.0,138800000000.0,0
00101220,1,1,001390,KG케미칼,153710000000.0,74740000000.0,39820000000.0,94290000000.0,50300000000.0,6480000000.0,78970000000.0,203280000000.0,7640000000.0,10700000000.0,20000000000.0,16880000000.0,2005-08-01,71583000000.0,6650.0,6650.0,0.2590592674516948,0.0867005619480867,0.9577602354830078,1.87455268389662,0.2140172946090552,11.04675925925926,0.35213990554899643,9.369502617801047,18790000000.0,-8660000000.0,-2890000000.0,16900000000.0,-14450000000.0,71900000000.0,-6900000000.0,1700000000.0,4600000000.0,-25100000000.0,0
00101257,1,1,000800,경남기업,689530000000.0,264350000000.0,90390000000.0,543120000000.0,311070000000.0,26770000000.0,425180000000.0,0.0,0.0,31889999999.0,0.0,0.0,2005-08-01,136307372480.0,9740.0,9740.0,0.13108929270662625,0.10126725931530167,0.5156322015509741,1.7459735750795642,0.8652503371914458,5.0917957594322,inf,inf,13160000000.0,19180000000.0,20040000000.0,7240000000.0,-138010000000.0,179000000000.0,165300000000.0,151800000000.0,81200000000.0,75000000000.0,0
00101488,1,1,009450,경동나비엔,158830000000.0,109850000000.0,36760000000.0,111309999999.0,39900000000.0,5480000000.0,48980000000.0,183630000000.0,-3460000000.0,6370000000.0,10000000000.0,12480000000.0,2005-08-01,34329600000.0,14800.0,14800.0,0.2314424227161116,0.049886208466090126,0.3125134274010013,2.78972431075188,1.8156343213728088,6.264525547445254,0.18694984479660187,-9.92184971098266,9320000000.0,17010000000.0,10890000000.0,6140000000.0,6680000000.0,105500000000.0,97200000000.0,81000000000.0,71100000000.0,66000000000.0,0
00101628,1,1,000050,경방,529689999999.0,340230000000.0,31689999999.0,87830000000.0,159410000000.0,-9290000000.0,189460000000.0,210960000000.0,9260000000.0,-6120000000.0,0.0,7840000000.0,2005-08-01,134160000000.0,64500.0,64500.0,0.059827446240366684,-0.027305058342885696,0.39432148840490255,0.5509691989210213,-0.7575283243887895,-14.441334768568352,0.6359499431171786,14.488120950323975,190000000.0,3529999999.0,-310000000.0,2350000000.0,9240000000.0,391900000000.0,391900000000.0,379700000000.0,407100000000.0,65300000000.0,0
00102432,1,1,013580,계룡건설산업,482080000000.0,256230000000.0,110609999999.0,287280000000.0,130970000000.0,42760000000.0,225850000000.0,876029999999.0,7209999999.0,68210000000.0,70000000000.0,73500000000.0,2005-08-01,236222490150.0,25450.0,25450.0,0.2294432459322104,0.16688131756624908,0.9219158184053392,2.193479422768573,0.2600514454021388,5.524380031571561,0.26965114225571,32.763174782630124,35430000000.0,31670000000.0,25550000000.0,15569999999.0,12890000000.0,192800000000.0,162900000000.0,131400000000.0,106200000000.0,97800000000.0,0
00102858,1,1,010130,고려아연,1828359999999.0,852829999999.0,178250000000.0,797100000000.0,577420000000.0,122690000000.0,975529999999.0,2184680000000.0,260010000000.0,97080000000.0,75000000000.0,280250000000.0,2005-08-01,552891000000.0,28800.0,28800.0,0.09749174123263334,0.14386219996968194,0.6483015372356136,1.3804509715631603,-0.32272183847991737,4.5064063900888405,0.25307642309171136,2.1264220606899733,42410000000.0,78850000000.0,35980000000.0,8940000000.0,45520000000.0,760700000000.0,621200000000.0,529700000000.0,533600000000.0,538900000000.0,0
00103006,1,1,002240,고려제강,905840000000.0,572550000000.0,118690000000.0,306250000000.0,225569999999.0,45730000000.0,333290000000.0,522610000000.0,48870000000.0,35820000000.0,17500000000.0,83750000000.0,2005-08-01,252000000000.0,24800.0,24800.0,0.13102755453501722,0.07987075364596978,0.4401362326434373,1.3576716762040948,-0.1073015873015873,5.51060572928056,0.4821951359522397,5.156537753222835,37800000000.0,27310000000.0,40800000000.0,16190000000.0,30010000000.0,513600000000.0,467900000000.0,437100000000.0,412600000000.0,313400000000.0,1
00103042,1,1,009070,케이씨티시,187210000000.0,95770000000.0,29630000000.0,55700000000.0,49130000000.0,3840000000.0,91440000000.0,192470000000.0,7720000000.0,4450000000.0,1200000000.0,13510000000.0,2005-08-01,19200000000.0,50000.0,50000.0,0.15827145985791358,0.040096063485433854,0.20048031742716926,1.1337268471402402,-1.8614583333333328,5.0,0.0997558060996519,2.4870466321243523,2150000000.0,1220000000.0,1510000000.0,810000000.0,1870000000.0,92000000000.0,89700000000.0,88800000000.0,87400000000.0,29900000000.0,0
00103510,1,1,023800,인지컨트롤스,97000000000.0,48510000000.0,22010000000.0,44810000000.0,38020000000.0,9750000000.0,48480000000.0,141860000000.0,0.0,10470000000.0,15800000000.0,12040000000.0,2005-08-01,63167203000.0,5600.0,5600.0,0.2269072164948453,0.2009894867037724,1.3021480725623582,1.17859021567596,-0.05809977054073456,6.478687487179487,0.4452784646834908,inf,7870000000.0,5360000000.0,5040000000.0,4720000000.0,4129999999.0,40900000000.0,35600000000.0,30500000000.0,27400000000.0,26100000000.0,1
00104388,1,1,007690,국도화학,219010000000.0,126850000000.0,33310000000.0,147440000000.0,0.0,9220000000.0,92160000000.0,245369999999.0,-3160000000.0,14560000000.0,60000000000.0,17880000000.0,2005-08-01,88321363200.0,14450.0,14450.0,0.15209351171179394,0.07268427276310603,0.6962661663381947,inf,0.6258961365306464,9.57932355748373,0.3599517593852547,-27.94979848101265,6260000000.0,9180000000.0,5950000000.0,7390000000.0,8740000000.0,120800000000.0,123300000000.0,117400000000.0,114000000000.0,101700000000.0,0
00104810,1,1,007720,대명소노시즌,70740000000.0,16419999999.0,11150000000.0,27160000000.0,38690000000.0,-2000000000.0,54320000000.0,74360000000.0,-3020000000.0,-840000000.0,0.0,1130000000.0,2005-08-01,28768751200.0,13750.0,13750.0,0.15761945151258128,-0.12180267966637046,1.7520554934075552,0.7019901783406565,-0.9440799084806992,-14.3843756,0.3868847660032275,-9.526076556291393,26700000000.0,10200000000.0,-67490000000.0,-6920000000.0,54110000000.0,55100000000.0,27200000000.0,-19500000000.0,47800000000.0,56500000000.0,0
00104999,1,1,008600,윌비스,235919999999.0,113290000000.0,26320000000.0,114530000000.0,105850000000.0,-30060000000.0,122640000000.0,167430000000.0,-8130000000.0,1889999999.0,0.0,-24170000000.0,2005-08-01,37838268560.0,3045.0,3045.0,0.1115632417773464,-0.26533674640303645,0.3339947794156589,1.0820028341993386,-0.2143332744504417,-1.2587581024617431,0.22599455629218185,-4.654153574415744,10330000000.0,-10260000000.0,68010000000.0,6470000000.0,11680000000.0,164200000000.0,163800000000.0,193100000000.0,140600000000.0,171500000000.0,0
00105271,1,1,002380,케이씨씨,3231570000000.0,1844640000000.0,524770000000.0,1132510000000.0,940860000000.0,171650000000.0,1386930000000.0,2606590000000.0,209250000000.0,209190000000.0,500000000000.0,480820000000.0,2005-08-01,1940940000000.0,184500.0,184500.0,0.1623885603592062,0.09305338711076416,1.052205308352849,1.2036966179877984,-0.13108081651158718,11.307544421788522,0.7446280389320914,9.275698924731183,193910000000.0,154320000000.0,89550000000.0,67740000000.0,75440000000.0,1735900000000.0,1220100000000.0,1095000000000.0,1041000000000.0,347400000000.0,0
