기업코드,IFRS,CFS,종목코드,회사명,자산총계,자본총계,매출총이익,유동자산,유동부채,당기순이익,부채총계,매출액(수익),영업활동으로인한현금흐름,영업이익,주당배당금,EBITDA,날짜,시가총액,주가,주식수,GP/A,ROE,PBR,유동비율,NCAV,PER,PSR,PCR,2015-당기순이익,2014-당기순이익,2013-당기순이익,2012-당기순이익,2011-당기순이익,2015-자본총계,2014-자본총계,2013-자본총계,2012-자본총계,2011-자본총계,증자
00101044,1,1,003060,에이프로젠제약,128690598783.0,78120480559.0,18625154353.0,83070000000.0,45150000000.0,-4770000000.0,50570000000.0,44120000000.0,450000000.0,-250000000.0,0.0,1069999999.0,2017-08-01,311401270950.0,3945.0,3945.0,0.14472816607533245,-0.06105953222340315,3.986166863308223,1.8398671096345518,0.10436694718955834,-65.2832853144654,7.0580523787398,692.0028243333335,890000000.0,-3850000000.0,-14900000000.0,-25260000000.0,-4670000000.0,69000000000.0,64400000000.0,58300000000.0,64700000000.0,72700000000.0,0
00101549,1,1,011040,경동제약,238488083067.0,208571469647.0,94969255926.0,112480000000.0,27189999999.0,16950000000.0,29920000000.0,158600000000.0,25630000000.0,26280000000.0,35000000000.0,29460000000.0,2017-08-01,254880000000.0,19150.0,19150.0,0.3982138424053653,0.08126710728311637,1.2220271565970915,4.136815005668879,0.3239171374764595,15.03716814159292,1.607061790668348,9.944596176355834,13719999999.0,24960000000.0,18740000000.0,7959999999.0,20240000000.0,204800000000.0,190500000000.0,169300000000.0,153900000000.0,150500000000.0,0
00102353,1,1,024910,경창산업,614040000000.0,146700000000.0,83130000000.0,199980000000.0,321560000000.0,9820000000.0,467339999999.0,645790000000.0,111259999999.0,29250000000.0,4300000000.0,72810000000.0,2017-08-01,86044000000.0,4860.0,4860.0,0.13538205980066445,0.06693933197000683,0.5865303340149965,0.6219057096653813,-3.10724745477895,8.762118126272911,0.13323835921894114,0.7733596980116246,5470000000.0,21150000000.0,23050000000.0,9410000000.0,4310000000.0,105200000000.0,104700000000.0,88100000000.0,77000000000.0,64000000000.0,0
00102432,1,1,013580,계룡건설산업,1513440000000.0,329410000000.0,153110000000.0,1006810000000.0,1072110000000.0,18620000000.0,1184030000000.0,1958509999999.0,125959999999.0,77640000000.0,0.0,56960000000.0,2017-08-01,160756326000.0,17950.0,17950.0,0.10116687810550798,0.05652530281412223,0.4880128897119092,0.9390920707763196,-1.1024138483981027,8.633529860365199,0.08208093193299094,1.2762490155706276,10280000000.0,-119630000000.0,-92180000000.0,2580000000.0,5510000000.0,249300000000.0,238500000000.0,362100000000.0,452600000000.0,453200000000.0,0
00102751,1,1,002140,고려산업,167843755913.0,85020282528.0,35282670407.0,86130000000.0,73870000000.0,6850000000.0,82820000000.0,172280000000.0,15780000000.0,6680000000.0,3000000000.0,11140000000.0,2017-08-01,85043439250.0,3360.0,3360.0,0.210211396992858,0.08056901007996613,1.0002723670318594,1.1659672397454988,0.038921285747506966,12.415100620437956,0.4936350084165312,5.3893180766793405,4800000000.0,8209999999.0,3760000000.0,4690000000.0,4160000000.0,71800000000.0,68900000000.0,61700000000.0,58400000000.0,54600000000.0,0
00104786,1,1,007120,미래아이앤지,52119332248.0,49241366979.0,2946585780.0,13190000000.0,1970000000.0,-2340000000.0,2880000000.0,9830000000.0,-3540000000.0,-1639999999.0,0.0,-2320000000.0,2017-08-01,39424137780.0,607.0,607.0,0.05653537090573664,-0.047521020303882736,0.8006304495326712,6.695431472081219,0.2615149139730913,-16.847922128205127,4.010593873855544,-11.136762084745765,1500000000.0,-18650000000.0,-11790000000.0,200000000.0,1530000000.0,45300000000.0,37800000000.0,18600000000.0,24900000000.0,23800000000.0,1
00105271,1,1,002380,케이씨씨,9162368431781.0,5966925432303.0,929099456766.0,2288830000000.0,1677500000000.0,152960000000.0,3195440000000.0,3490490000000.0,431139999999.0,326580000000.0,900000000000.0,473700000000.0,2017-08-01,4671257002500.0,434000.0,434000.0,0.10140385247369928,0.025634642452865952,0.7828582836331972,1.3644292101341282,-0.1940826632991491,30.539075591657948,1.33828115894903,10.834663920097496,157020000000.0,288310000000.0,223319999999.0,406590000000.0,291710000000.0,5716000000000.0,6082800000000.0,4990100000000.0,4869000000000.0,4942700000000.0,0
00105961,1,1,011070,LG이노텍,4323719057894.0,1778476017442.0,652375920526.0,2084430000000.0,1733740000000.0,4950000000.0,2545240000000.0,5754570000000.0,331790000000.0,104830000000.0,25000000000.0,391600000000.0,2017-08-01,3538232496500.0,150000.0,150000.0,0.15088305039961586,0.002783281838750705,1.9894743936941448,1.2022736973248584,-0.13023734320902616,714.7944437373739,0.6148561050608473,10.66407214352452,43580000000.0,58870000000.0,-50040000000.0,-41030000000.0,-164340000000.0,1560500000000.0,1541200000000.0,1220700000000.0,1238300000000.0,1295800000000.0,0
00108649,1,1,048770,TPC,88493721932.0,17001543322.0,14463285953.0,56510000000.0,55729999999.0,-4530000000.0,71490000000.0,92340000000.0,-340000000.0,-1950000000.0,2500000000.0,-200000000.0,2017-08-01,78948000000.0,6000.0,6000.0,0.16343855402662147,-0.26644639925942365,4.643578439013902,1.0139960524136729,-0.189745148705477,-17.42781456953643,0.8549707602339182,-232.2,-3629999999.0,1560000000.0,320000000.0,2550000000.0,6770000000.0,21800000000.0,31700000000.0,29200000000.0,27100000000.0,25200000000.0,0
00109514,1,1,004870,티웨이홀딩스,175552057463.0,49153450993.0,53112552921.0,74900000000.0,107790000000.0,3590000000.0,126400000000.0,411870000000.0,39890000000.0,14230000000.0,0.0,15519999999.0,2017-08-01,252192344450.0,3580.0,3580.0,0.302545886892805,0.07303658090072365,5.130714921438884,0.6948696539567678,-0.2042092122673869,70.24856391364902,0.6123105456818899,6.322194646527952,340000000.0,540000000.0,-409999999.0,-3020000000.0,-5640000000.0,34900000000.0,34500000000.0,27900000000.0,18300000000.0,5600000000.0,0
00110583,1,1,025440,대성엘텍,117109999999.0,49190000000.0,21400000000.0,58840000000.0,55529999999.0,1540000000.0,67920000000.0,365490000000.0,10090000000.0,7620000000.0,0.0,15700000000.0,2017-08-01,134860521280.0,1395.0,1395.0,0.18273418154028465,0.03130717625533645,2.7416247464931898,1.0596074194320118,-0.06732882176206283,87.57176706493506,0.3689855297819366,13.365760285431119,1870000000.0,2980000000.0,-35870000000.0,-650000000.0,-14500000000.0,26900000000.0,25300000000.0,22900000000.0,36000000000.0,27500000000.0,0
00111704,1,1,042660,대우조선해양,15064829698698.0,659377225921.0,-630340000000.0,7999489999999.0,12368660000000.0,-2789490000000.0,14405450000000.0,12819220000000.0,-531010000000.0,-1530840000000.0,0.0,-1671570000000.0,2017-08-01,,,,-0.041841827130278016,-4.230491879824506,,0.6467547818437082,,,,,-2307920000000.0,-931840000000.0,-920410000000.0,-317650000000.0,654210000000.0,415200000000.0,1934900000000.0,2898300000000.0,3837500000000.0,4293400000000.0,1
00111874,1,1,005710,대원산업,437539125541.0,221444272333.0,70353647925.0,302760000000.0,186640000000.0,42810000000.0,216090000000.0,823570000000.0,54779999999.0,40470000000.0,9100000000.0,79750000000.0,2017-08-01,147476736000.0,7360.0,7360.0,0.16079395834146368,0.1933217759438088,0.6659767464124325,1.6221603086155163,0.5876859113562155,3.444913244569026,0.17907006811807133,2.692163855470832,22950000000.0,22640000000.0,22890000000.0,24790000000.0,16400000000.0,193600000000.0,174900000000.0,156400000000.0,134200000000.0,111200000000.0,0
00112970,1,1,001070,대한방직,371647516785.0,179040928387.0,17813692342.0,96940000000.0,147420000000.0,-4140000000.0,192610000000.0,245580000000.0,-7880000000.0,1210000000.0,0.0,6250000000.0,2017-08-01,90524000000.0,84300.0,84300.0,0.04793168671245372,-0.023123204494624367,0.5056050636887385,0.6575769909103243,-1.0568468030577527,-21.86570048309179,0.3686130792409805,-11.487817258883247,-2620000000.0,-22300000000.0,5230000000.0,-9610000000.0,-10930000000.0,175500000000.0,178300000000.0,89300000000.0,84300000000.0,93900000000.0,0
00113261,1,1,010170,대한광통신,127077797395.0,60406777716.0,14090121141.0,68340000000.0,56360000000.0,-12590000000.0,66670000000.0,116470000000.0,10800000000.0,-1540000000.0,0.0,-4560000000.0,2017-08-01,179160308495.0,3840.0,3840.0,0.11087791439446518,-0.2084203209645012,2.965897458350036,1.2125621007806957,0.0093212610205268,-14.230366044082606,1.5382528418906156,16.58891745324074,-1410000000.0,-27120000000.0,-33880000000.0,-4470000000.0,-560000000.0,73200000000.0,74500000000.0,101700000000.0,111000000000.0,99900000000.0,0
00113410,1,1,000120,CJ대한통운,5521190000000.0,2739270000000.0,671120000000.0,1511130000000.0,1362370000000.0,68210000000.0,2781930000000.0,6081950000000.0,208400000000.0,228440000000.0,0.0,283300000000.0,2017-08-01,4186065124000.0,186500.0,186500.0,0.12155350567540693,0.024900794737284026,1.5281681338458786,1.1091920697020634,-0.3035786502016207,61.37025544641549,0.6882768066162991,20.086684856046066,-12370000000.0,32270000000.0,-48280000000.0,71860000000.0,53240000000.0,2280500000000.0,2252200000000.0,2236800000000.0,2291100000000.0,2223600000000.0,0
00114154,1,1,024900,덕양산업,410285388641.0,84297712906.0,21374766137.0,237310000000.0,249990000000.0,-930000000.0,325990000000.0,1050170000000.0,-4550000000.0,2300000000.0,0.0,16360000000.0,2017-08-01,50964193700.0,1590.0,1590.0,0.05209731257503526,-0.011032327781384042,0.6045738602283308,0.9492779711188448,-1.7400451878433234,-54.800208279569894,0.04852947018101831,-11.200921692307693,760000000.0,3320000000.0,1320000000.0,4090000000.0,7020000000.0,61300000000.0,60800000000.0,55800000000.0,54700000000.0,68200000000.0,0
00114808,1,1,086450,동국제약,325100000000.0,238340000000.0,182910000000.0,233990000000.0,72890000000.0,40690000000.0,86760000000.0,309690000000.0,39410000000.0,46930000000.0,40000000000.0,59140000000.0,2017-08-01,539744400000.0,60200.0,60200.0,0.5626268840356813,0.17072249727280356,2.2645984727699924,3.210179722870078,0.2727772627191686,13.264792332268375,1.742853821563499,13.695620400913473,28060000000.0,21560000000.0,16810000000.0,22310000000.0,20220000000.0,200700000000.0,176800000000.0,161900000000.0,147700000000.0,131000000000.0,0
00115977,1,1,010780,아이에스동서,2074372640321.0,939598669828.0,467312721016.0,1382370000000.0,681310000000.0,214030000000.0,1134770000000.0,1724100000000.0,105850000000.0,304790000000.0,100000000000.0,361170000000.0,2017-08-01,1276954529550.0,41500.0,41500.0,0.2252790612123025,0.2277887430802553,1.359042504587363,2.028988272592505,0.19389883842399186,5.966240851983367,0.7406499214372716,12.063812277279167,101790000000.0,48880000000.0,21330000000.0,9880000000.0,12780000000.0,558700000000.0,426900000000.0,379800000000.0,366100000000.0,361900000000.0,0
00116824,1,1,000640,동아쏘시오홀딩스,1402220000000.0,875860000000.0,283310000000.0,302530000000.0,444039999999.0,175690000000.0,526360000000.0,726170000000.0,30480000000.0,76000000000.0,100000000000.0,233110000000.0,2017-08-01,794888223500.0,128000.0,128000.0,0.20204390181283965,0.20059141871988675,0.9075516903386386,0.6813124943714111,-0.2815867607327812,4.524379438215038,1.0946310416293703,26.07900995734909,26430000000.0,6370000000.0,-11190000000.0,67750000000.0,60650000000.0,403300000000.0,367200000000.0,340700000000.0,746300000000.0,732400000000.0,1
00118044,1,1,030720,동원수산,94209184082.0,33642490893.0,13458463863.0,47780000000.0,22290000000.0,540000000.0,60570000000.0,133120000000.0,2640000000.0,1340000000.0,0.0,5610000000.0,2017-08-01,37064230170.0,8950.0,8950.0,0.1428572383270585,0.016051130153158722,1.1017088564542634,2.1435621354867656,-0.3450766396964667,68.63746327777778,0.27842720981069713,14.039481125,280000000.0,-8940000000.0,-8650000000.0,2430000000.0,3990000000.0,33800000000.0,33500000000.0,38700000000.0,40800000000.0,39900000000.0,0
00119007,1,1,009580,무림P&P,1095300000000.0,534100000000.0,58320000000.0,256340000000.0,340890000000.0,-790000000.0,561200000000.0,598620000000.0,88270000000.0,13590000000.0,12500000000.0,62650000000.0,2017-08-01,296249539000.0,4700.0,4700.0,0.0532456861133936,-0.0014791237595955813,0.5546705467140984,0.7519727771421866,-1.0290648924857906,-374.9994164556962,0.4948874728542314,3.3561746799592163,13850000000.0,-6400000000.0,29300000000.0,28089999999.0,11160000000.0,546100000000.0,545000000000.0,568300000000.0,553700000000.0,544400000000.0,0
00120021,1,1,003550,LG,19489442000000.0,14220084000000.0,1801049000000.0,4663120000000.0,3567300000000.0,1091260000000.0,5269360000000.0,9673890000000.0,878200000000.0,1322740000000.0,130000000000.0,1615440000000.0,2017-08-01,13166109095300.0,75000.0,75000.0,0.09241152209488604,0.07674075624307143,0.9258812462218928,1.3071847055195809,-0.04604549420119978,12.065052412165755,1.3609942944668587,14.992153376565705,345920000000.0,360610000000.0,355980000000.0,408120000000.0,395500000000.0,7930400000000.0,7768900000000.0,7589900000000.0,7408600000000.0,7176100000000.0,0
00120289,1,1,026040,제이에스티나,124880000000.0,79380000000.0,117650000000.0,91420000000.0,43400000000.0,3420000000.0,45500000000.0,170250000000.0,7750000000.0,7890000000.0,10000000000.0,10750000000.0,2017-08-01,100508081100.0,6100.0,6100.0,0.9421044202434335,0.04308390022675737,1.266163783068783,2.106451612903226,0.4568786857477871,29.388327807017546,0.5903558361233481,12.968784658064516,4000000000.0,8890000000.0,8250000000.0,7320000000.0,4320000000.0,82200000000.0,75000000000.0,62400000000.0,54500000000.0,45300000000.0,0
00120571,1,1,005300,롯데칠성음료,4650515640860.0,2372740759667.0,1035288242700.0,1037879999999.0,1207420000000.0,69140000000.0,2277770000000.0,2264210000000.0,190930000000.0,146330000000.0,100000000000.0,282110000000.0,2017-08-01,1981999206000.0,1614000.0,1614000.0,0.2226179466216242,0.02913929796936745,0.8353205877738459,0.8595849000339567,-0.6255754271987332,28.666462337286664,0.875360150339412,10.380763662075106,86490000000.0,26589999999.0,91350000000.0,87930000000.0,52390000000.0,2358000000000.0,2289400000000.0,2420500000000.0,2276200000000.0,2138900000000.0,0
00125965,1,1,111870,삼본전자,94260279982.0,85191752875.0,16247021275.0,79060000000.0,8850000000.0,7000000000.0,9070000000.0,57240000000.0,14480000000.0,4870000000.0,8300000000.0,9130000000.0,2017-08-01,124925000000.0,13400.0,13400.0,0.17236338867338968,0.0821675780080608,1.4663978118081422,8.933333333333334,0.5602561536922154,17.84642857142857,2.182477288609364,8.627417127071821,5790000000.0,1620000000.0,7470000000.0,6620000000.0,8459999999.0,83300000000.0,80400000000.0,81600000000.0,76500000000.0,71600000000.0,0
00126487,1,1,007700,F&F,305575468102.0,226705516011.0,255598955813.0,163070000000.0,64890000000.0,30230000000.0,78870000000.0,438980000000.0,55810000000.0,45620000000.0,35000000000.0,48960000000.0,2017-08-01,440440000000.0,27900.0,27900.0,0.8364511634411764,0.1333447925392923,1.942784665101088,2.5130220372938816,0.19117246389973666,14.569632815084354,1.0033258918401748,7.8917756674431105,11680000000.0,13469999999.0,8290000000.0,6720000000.0,18430000000.0,194000000000.0,184600000000.0,173100000000.0,166400000000.0,162000000000.0,0
00128555,1,1,004690,삼천리,3690169999999.0,1362990000000.0,296990000000.0,1202760000000.0,796320000000.0,20060000000.0,2327180000000.0,3060060000000.0,329880000000.0,61510000000.0,250000000000.0,186100000000.0,2017-08-01,468355387500.0,114500.0,114500.0,0.0804813870363914,0.014717642829367788,0.3436234950366473,1.5103978300180831,-2.400783742452413,23.347726196410772,0.1530543151114684,1.4197750318297562,21160000000.0,14119999999.0,44300000000.0,40210000000.0,34930000000.0,1198000000000.0,1182400000000.0,1190900000000.0,1155000000000.0,1124200000000.0,0
00128980,1,1,010960,삼호개발,245439371406.0,147818993385.0,31020669964.0,146320000000.0,90530000000.0,16000000000.0,97620000000.0,274460000000.0,16769999999.0,22180000000.0,13000000000.0,19800000000.0,2017-08-01,126250000000.0,5020.0,5020.0,0.12638832061171776,0.1082404881375928,0.8540851017106932,1.616259803380095,0.38574257425742575,7.890625,0.4599941703709102,7.528324389238421,8009999999.0,3170000000.0,6380000000.0,10100000000.0,6440000000.0,131000000000.0,128400000000.0,129100000000.0,125300000000.0,116100000000.0,0
00129387,1,1,000390,삼화페인트공업,526308222878.0,295721727288.0,101006144539.0,247940000000.0,145980000000.0,13719999999.0,230590000000.0,482189999999.0,10150000000.0,18880000000.0,30000000000.0,36280000000.0,2017-08-01,228655070900.0,8810.0,8810.0,0.1919144336880588,0.0463949677449241,0.7732102507209944,1.6984518427181805,0.07587848339295239,16.665821495383803,0.4742011881218486,22.527593192118225,21740000000.0,21470000000.0,15619999999.0,12670000000.0,10570000000.0,249500000000.0,245100000000.0,231200000000.0,215400000000.0,205900000000.0,0
00136624,1,1,005800,신영와코루,334490000000.0,300270000000.0,102630000000.0,156000000000.0,22250000000.0,17330000000.0,34230000000.0,179460000000.0,2340000000.0,3160000000.0,250000000000.0,23900000000.0,2017-08-01,147600000000.0,164000.0,164000.0,0.3068253161529493,0.05771472341559264,0.4915575981616545,7.01123595505618,0.825,8.517022504327755,0.8224674022066198,63.07692307692307,10420000000.0,1210000000.0,11250000000.0,14330000000.0,17210000000.0,279100000000.0,268500000000.0,265000000000.0,257600000000.0,251300000000.0,0
00138729,1,1,002310,아세아제지,720960000000.0,461139999999.0,85450000000.0,227190000000.0,156590000000.0,20730000000.0,259819999999.0,633030000000.0,30850000000.0,24510000000.0,50000000000.0,59370000000.0,2017-08-01,177786564700.0,19900.0,19900.0,0.11852252552152685,0.04495381012283678,0.3855370705217191,1.4508589309662174,-0.1835346785290576,8.576293521466472,0.28085014090959354,5.762935646677471,-24930000000.0,15269999999.0,19170000000.0,22540000000.0,4010000000.0,431200000000.0,460300000000.0,449800000000.0,232300000000.0,209900000000.0,0
00139889,1,1,011790,SKC,3528839514026.0,1523921106210.0,409954079157.0,801500000000.0,862620000000.0,29260000000.0,2004920000000.0,2359440000000.0,249100000000.0,149300000000.0,75000000000.0,286560000000.0,2017-08-01,1416929451250.0,36350.0,36350.0,0.11617249170090185,0.019200469027409017,0.9297918674897228,0.9291460898193874,-0.8493153974168267,48.42547680280246,0.6005363354228122,5.688195308109193,250480000000.0,78010000000.0,62850000000.0,81000000000.0,139260000000.0,1505100000000.0,1269700000000.0,1206500000000.0,1163000000000.0,1102700000000.0,0
00143794,1,1,005820,원림,141503999267.0,108736393535.0,26343265330.0,68990000000.0,19450000000.0,10440000000.0,32770000000.0,85360000000.0,4340000000.0,10390000000.0,50000000000.0,15010000000.0,2017-08-01,55220000000.0,24800.0,24800.0,0.1861662247460132,0.09601201272727128,0.5078336535248966,3.5470437017994865,0.6559217674755523,5.289272030651341,0.6469072164948454,12.723502304147464,1810000000.0,2890000000.0,4880000000.0,4370000000.0,2640000000.0,70800000000.0,67600000000.0,65500000000.0,61500000000.0,62600000000.0,0
00144395,1,1,026960,동서,1327035011897.0,1197388709270.0,86117502709.0,669850000000.0,60410000000.0,122359999999.0,129650000000.0,513789999999.0,106470000000.0,45600000000.0,67000000000.0,149660000000.0,2017-08-01,2956105000000.0,29500.0,29500.0,0.06489467266270149,0.10218903773829467,2.4687931138103174,11.08839596093362,0.18274046422572945,24.159079764826412,5.753527705883247,27.76467549544473,121590000000.0,98910000000.0,96000000000.0,97380000000.0,90710000000.0,1120000000000.0,919700000000.0,876100000000.0,825600000000.0,767800000000.0,0
00144818,1,1,000220,유유제약,104327188394.0,73730632094.0,30872606201.0,49020000000.0,29210000000.0,-400000000.0,30600000000.0,69740000000.0,-11680000000.0,1610000000.0,18000000000.0,1440000000.0,2017-08-01,65002833300.0,10400.0,10400.0,0.29592100272468885,-0.005425153543916939,0.8816258786053424,1.6781923998630606,0.2833722634056322,-162.50708325,0.932073893031259,-5.565311070205479,-7809999999.0,1800000000.0,2660000000.0,1900000000.0,1120000000.0,69200000000.0,70700000000.0,69100000000.0,67200000000.0,70600000000.0,0
00146083,1,1,000230,일동홀딩스,204090000000.0,106840000000.0,17690000000.0,79510000000.0,48930000000.0,266190000000.0,97250000000.0,40770000000.0,46640000000.0,-3740000000.0,13600000000.0,8530000000.0,2017-08-01,163648617600.0,15550.0,15550.0,0.08667744622470479,2.4914825907899663,1.5317167502807938,1.6249744533006336,-0.10840299331682224,0.6147812374619632,4.013946961000737,3.5087610977701544,21530000000.0,12750000000.0,7200000000.0,18060000000.0,24810000000.0,345000000000.0,328400000000.0,321900000000.0,318900000000.0,304200000000.0,0
00146542,1,1,008500,일정실업,68210000000.0,58900000000.0,14810000000.0,38800000000.0,8090000000.0,3170000000.0,9310000000.0,78880000000.0,950000000.0,4450000000.0,125000000000.0,5460000000.0,2017-08-01,34560000000.0,28650.0,28650.0,0.21712358891658115,0.05382003395585738,0.5867572156196944,4.796044499381953,0.8532986111111112,10.902208201892742,0.4381338742393509,36.37894736842105,7759999999.0,3820000000.0,1810000000.0,4129999999.0,-420000000.0,52900000000.0,46900000000.0,45200000000.0,45400000000.0,43500000000.0,0
00146560,1,1,019540,일지테크,416302907987.0,124530358473.0,48131722895.0,153100000000.0,288030000000.0,18930000000.0,291770000000.0,343250000000.0,36300000000.0,26610000000.0,15000000000.0,66600000000.0,2017-08-01,68648580000.0,5090.0,5090.0,0.11561707105947724,0.15201112589830296,0.5512597959387069,0.5315418532791724,-2.0199980829902087,3.626443740095087,0.19999586307356154,1.8911454545454545,10900000000.0,17740000000.0,13990000000.0,19470000000.0,5170000000.0,116300000000.0,107000000000.0,90400000000.0,74000000000.0,55200000000.0,0
00148276,1,1,030000,제일기획,2151430000000.0,776280000000.0,997440000000.0,1794809999999.0,1244900000000.0,90650000000.0,1375150000000.0,3232590000000.0,99800000000.0,149550000000.0,30000000000.0,161510000000.0,2017-08-01,2369849235000.0,20300.0,20300.0,0.4636172220337171,0.11677487504508682,3.052827890709538,1.441730259457788,0.17708299490157228,26.142848703805853,0.7331116024611843,23.74598431863728,26570000000.0,54510000000.0,52250000000.0,58070000000.0,79290000000.0,587600000000.0,727900000000.0,562100000000.0,618300000000.0,670300000000.0,0
00150439,1,1,003780,진양산업,46610000000.0,35430000000.0,10130000000.0,17270000000.0,8840000000.0,1340000000.0,11170000000.0,42420000000.0,4780000000.0,5180000000.0,17500000000.0,4620000000.0,2017-08-01,43615000000.0,3295.0,3295.0,0.21733533576485733,0.03782105560259666,1.231018910527801,1.9536199095022624,0.13986013986013987,32.548507462686565,1.028170674210278,9.124476987447697,4079999999.0,2830000000.0,2390000000.0,2670000000.0,3870000000.0,33900000000.0,31900000000.0,31200000000.0,24700000000.0,24000000000.0,0
00156691,1,1,005430,한국공항,373410000000.0,281780000000.0,52910000000.0,165200000000.0,45780000000.0,17440000000.0,91620000000.0,472600000000.0,39560000000.0,26789999999.0,50000000000.0,37540000000.0,2017-08-01,142327657250.0,45100.0,45100.0,0.14169411638681342,0.0618922563702179,0.5051020556817375,3.6085626911314974,0.5169761199030767,8.160989521215596,0.30115881771053743,3.5977668667846308,7609999999.0,25789999999.0,-12130000000.0,1430000000.0,-14540000000.0,264600000000.0,262200000000.0,242700000000.0,236800000000.0,276600000000.0,0
00158565,1,1,017890,한국알콜,305870000000.0,238819999999.0,35910000000.0,127159999999.0,53979999999.0,30089999999.0,67050000000.0,188570000000.0,43910000000.0,19380000000.0,5000000000.0,48750000000.0,2017-08-01,179111750400.0,8140.0,8140.0,0.11740281819073466,0.12599447282106185,0.7499863931025458,2.355687291614592,0.3356005391313511,5.9525340779645255,0.9498422357745134,4.0790651423365984,10320000000.0,9300000000.0,1820000000.0,7380000000.0,10810000000.0,195000000000.0,186400000000.0,177300000000.0,175300000000.0,169800000000.0,0
00162586,1,1,009420,한올바이오파마,124730000000.0,104359999999.0,38500000000.0,96440000000.0,14390000000.0,2030000000.0,20370000000.0,82880000000.0,3950000000.0,290000000.0,0.0,2830000000.0,2017-08-01,637335783600.0,12150.0,12150.0,0.3086667201154494,0.019451897278837216,6.107088765869175,6.701876302988187,0.11935623568838008,313.95851408867003,7.689862253861004,161.35083129113926,-7130000000.0,-12790000000.0,-21350000000.0,-2980000000.0,-14560000000.0,95200000000.0,45800000000.0,59800000000.0,78700000000.0,50700000000.0,0
00162911,1,1,005860,한일사료,188202766706.0,64499771110.0,33683627206.0,115600000000.0,113740000000.0,2180000000.0,123700000000.0,310020000000.0,24490000000.0,6630000000.0,2500000000.0,6790000000.0,2017-08-01,84520904325.0,2120.0,2120.0,0.17897519678134546,0.03379856955278426,1.3104062676572186,1.0163530859855812,-0.09583427987062064,38.77105702981651,0.27263048940390944,3.4512414995916703,1230000000.0,1600000000.0,-2790000000.0,2610000000.0,1250000000.0,34900000000.0,34600000000.0,33900000000.0,37500000000.0,35700000000.0,1
00162993,1,1,003300,한일홀딩스,2158467188807.0,1528028295954.0,242001778455.0,947850000000.0,378110000000.0,83770000000.0,630440000000.0,1441200000000.0,40530000000.0,101590000000.0,160000000000.0,181300000000.0,2017-08-01,935618812000.0,122500.0,122500.0,0.11211742282205184,0.054822283214133516,0.6123046376021861,2.506810187511571,0.339251408724347,11.16890070430942,0.6491942908687205,23.08459935849988,33550000000.0,86910000000.0,71680000000.0,-71850000000.0,13250000000.0,1364300000000.0,1340800000000.0,1247600000000.0,1191500000000.0,1230300000000.0,0
00163318,1,1,006920,모헨즈,79697874185.0,28625474281.0,9692367064.0,43940000000.0,42980000000.0,1839999999.0,51070000000.0,112230000000.0,2620000000.0,3720000000.0,0.0,6040000000.0,2017-08-01,60496800000.0,5480.0,5480.0,0.12161387192714115,0.06427841093348416,2.1133903112359755,1.0223359702187065,-0.11785747345314132,32.87869567004277,0.5390430366212243,23.090381679389314,390000000.0,860000000.0,790000000.0,390000000.0,220000000.0,11000000000.0,10900000000.0,10200000000.0,9400000000.0,9100000000.0,0
00164609,1,1,010620,현대미포조선,9226316948000.0,2258389343000.0,348390000000.0,6546320000000.0,5471850000000.0,39600000000.0,6967930000000.0,3446460000000.0,529680000000.0,191070000000.0,0.0,268319999999.0,2017-08-01,2270000000000.0,108000.0,108000.0,0.03776046302804728,0.01753462046867266,1.0051411228254277,1.1963632044007055,-0.18573127753303964,57.323232323232325,0.658646843427749,4.285606403866487,25920000000.0,-695280000000.0,-187910000000.0,112140000000.0,227860000000.0,1689200000000.0,1811700000000.0,3171700000000.0,3194400000000.0,3211900000000.0,0
00164724,1,1,017800,현대엘리베이터,2107558500180.0,791076876085.0,395148438363.0,1045090000000.0,719360000000.0,116930000000.0,1316480000000.0,1758790000000.0,158620000000.0,181570000000.0,33300000000.0,66820000000.0,2017-08-01,1315376194200.0,53300.0,53300.0,0.18749108901567926,0.14781117175195504,1.6627665830781595,1.4528052713523132,-0.20632120392376188,11.249261901992645,0.7478870099329653,8.292625105283067,-126259999999.0,-220719999999.0,-186620000000.0,-41410000000.0,-137610000000.0,736800000000.0,574000000000.0,626800000000.0,708900000000.0,631800000000.0,0
00165060,1,1,013030,하이록코리아,353324345077.0,308852738763.0,55629109395.0,248530000000.0,36250000000.0,30220000000.0,44470000000.0,177120000000.0,22940000000.0,37270000000.0,40000000000.0,42750000000.0,2017-08-01,317868967200.0,23050.0,23050.0,0.15744488080173685,0.09784598356173067,1.0291926452493552,6.856,0.6419626357284745,10.518496598279283,1.7946531571815718,13.856537367044465,43110000000.0,35570000000.0,32880000000.0,28410000000.0,23520000000.0,278900000000.0,242200000000.0,212600000000.0,183300000000.0,156700000000.0,0
00165413,1,1,011170,롯데케미칼,15866829999999.0,9400820000000.0,3266700000000.0,5851680000000.0,3448810000000.0,1837180000000.0,6466020000000.0,13223540000000.0,2700640000000.0,2544250000000.0,400000000000.0,3164220000000.0,2017-08-01,13041796929500.0,372500.0,372500.0,0.20588233440455367,0.1954276329086186,1.3873041851136392,1.6967243773939418,-0.047105471992926716,7.098812816109472,0.9862560955311512,4.8291504715548905,870350000000.0,225560000000.0,338810000000.0,343040000000.0,748630000000.0,7471300000000.0,6619400000000.0,6434900000000.0,6124400000000.0,5090300000000.0,0
