기업코드,IFRS,CFS,종목코드,회사명,자산총계,자본총계,매출총이익,유동자산,유동부채,당기순이익,부채총계,매출액(수익),영업활동으로인한현금흐름,날짜,시가총액,주가,주식수,GP/A,PBR,유동비율,NCAV,PER,PSR,PCR,2016-당기순이익,2015-당기순이익,2014-당기순이익,2013-당기순이익,2012-당기순이익,증자
00100258,1,1,030270,에스마크,65810000000.0,28939999999.0,0.0,38200000000.0,28260000000.0,-86650000000.0,36870000000.0,17069999999.0,-21190000000.0,2018-08-01,45209066502.0,330.0,330.0,0.0,1.5621653940415399,1.3517338995046002,0.02941887773641958,-0.5217434102942874,2.648451464830021,-2.133509509296838,-20070000000.0,-16419999999.0,-3720000000.0,490000000.0,-1100000000.0,1
00100601,1,1,114190,강원,93179394172.0,48303009892.0,865111926.0,68070000000.0,33689999999.0,-6450000000.0,44880000000.0,82030000000.0,-3710000000.0,2018-08-01,68638635000.0,4415.0,4415.0,0.009284369507737821,1.4210011995829686,2.020480854913045,0.3378563690842628,-10.641648837209303,0.8367503961965135,-18.500979784366578,-760000000.0,890000000.0,1120000000.0,3920000000.0,8970000000.0,0
00100717,1,1,023430,아이이,52690000000.0,29080000000.0,2540000000.0,8500000000.0,14180000000.0,-1970000000.0,23610000000.0,11830000000.0,-3130000000.0,2018-08-01,,,,0.048206490795217306,,0.5994358251057827,,,,,-141380000000.0,-12280000000.0,-1180000000.0,-3100000000.0,-21930000000.0,0
00100939,1,1,000860,강남제비스코,584684282138.0,484924569149.0,48677142613.0,212090000000.0,60320000000.0,23190000000.0,99760000000.0,300030000000.0,25390000000.0,2018-08-01,168675000000.0,25800.0,25800.0,0.08325372188047118,0.34783760347719606,3.516080901856764,0.6659552393656439,7.273609314359637,0.5621937806219378,6.643363528948405,22370000000.0,26070000000.0,26900000000.0,23050000000.0,21930000000.0,0
00101044,1,1,003060,에이프로젠제약,158272086883.0,77860647963.0,18831182807.0,66010000000.0,33970000000.0,-16890000000.0,80410000000.0,46100000000.0,-8930000000.0,2018-08-01,371114747360.0,3340.0,3340.0,0.11897980988221023,4.766396852185929,1.9431851633794524,-0.03880201501674972,-21.97245395855536,8.050211439479392,-41.55820239193729,-5230000000.0,890000000.0,-3850000000.0,-14900000000.0,-25260000000.0,0
00101220,1,1,001390,KG케미칼,1480673142139.0,577775684337.0,322084757683.0,692010000000.0,783640000000.0,10210000000.0,902900000000.0,1099479999999.0,189470000000.0,2018-08-01,360150564300.0,28600.0,28600.0,0.21752589988747423,0.6233397736584818,0.88307130825379,-0.5855606540833622,35.27429620959843,0.32756445255968963,1.9008316055312187,10880000000.0,7590000000.0,5470000000.0,-8630000000.0,-12540000000.0,0
00101336,1,1,008020,경남에너지,601040000000.0,330610000000.0,108340000000.0,182330000000.0,165190000000.0,28800000000.0,270430000000.0,631310000000.0,52929999999.0,2018-08-01,,,,0.18025422600825236,,1.1037593074641323,,,,,28070000000.0,23000000000.0,23250000000.0,17350000000.0,24210000000.0,0
00101433,1,1,002100,경농,335873897555.0,192152985744.0,67674486727.0,163440000000.0,121070000000.0,10080000000.0,143720000000.0,206530000000.0,15819999999.0,2018-08-01,236440075000.0,10400.0,10400.0,0.20148778222909738,1.2304782779436092,1.3499628314198397,0.08340379692401975,23.456356646825398,1.1448219387013994,14.945643174143214,5770000000.0,6490000000.0,9270000000.0,13750000000.0,6590000000.0,0
00101488,1,1,009450,경동나비엔,503697209795.0,256506497303.0,238581961165.0,230890000000.0,219840000000.0,27020000000.0,247190000000.0,684660000000.0,20110000000.0,2018-08-01,774562208000.0,61500.0,61500.0,0.473661470672233,3.0196592138757534,1.050263828238719,-0.021044145753106508,28.666254922279794,1.1313092746764817,38.51627090999503,28639999999.0,19320000000.0,9080000000.0,9250000000.0,9210000000.0,0
00101549,1,1,011040,경동제약,251427545260.0,219348160749.0,103340730873.0,110130000000.0,29910000000.0,20230000000.0,32080000000.0,177770000000.0,14790000000.0,2018-08-01,318600000000.0,12200.0,12200.0,0.41101594801848723,1.452485395419266,3.6820461384152456,0.24497802887633396,15.748887790410281,1.7922034088991394,21.54158215010142,16850000000.0,13719999999.0,24960000000.0,18740000000.0,7959999999.0,0
